Milliseconds,Latitude,Longitude,Altitude
8100,35.7021674,51.3528266,1197.0
8127,35.7021674,51.3528266,1197.0
8150,35.7021674,51.3528266,1197.0
8175,35.7021674,51.3528266,1197.0
8201,35.7021674,51.3528266,1197.0
8225,35.7021674,51.3528266,1197.0
8250,35.7021674,51.3528266,1197.0
8276,35.7021674,51.3528266,1197.0
8300,35.7021674,51.3528266,1197.0
8326,35.7021674,51.3528266,1197.0
8350,35.7021674,51.3528266,1197.0
8375,35.7021674,51.3528266,1197.0
8401,35.7021674,51.3528266,1197.0
8425,35.7021674,51.3528266,1197.0
8451,35.7021674,51.3528266,1197.0
8476,35.7021674,51.3528266,1197.0
8500,35.7021674,51.3528266,1197.0
8526,35.7021674,51.3528266,1197.0
8550,35.7021674,51.3528266,1197.0
8576,35.7021674,51.3528266,1197.0
8600,35.7021674,51.3528266,1197.0
8626,35.7021674,51.3528266,1197.0
8650,35.7021674,51.3528266,1197.0
8675,35.7021674,51.3528266,1197.0
8701,35.7021674,51.3528266,1197.0
8725,35.7021674,51.3528266,1197.0
8750,35.7021674,51.3528266,1197.0
8776,35.7021674,51.3528266,1197.0
8800,35.7021674,51.3528266,1197.0
8825,35.7021674,51.3528266,1197.0
8851,35.7021674,51.3528266,1197.0
8875,35.7021674,51.3528266,1197.0
8900,35.7021674,51.3528266,1197.0
8925,35.7021674,51.3528266,1197.0
8951,35.7021674,51.3528266,1197.0
8975,35.7021674,51.3528266,1197.0
9000,35.7021674,51.3528266,1197.0
9026,35.7021674,51.3528266,1197.0
9050,35.7021674,51.3528266,1197.0
9075,35.7021674,51.3528266,1197.0
9101,35.7021674,51.3528266,1197.0
9125,35.7021674,51.3528266,1197.0
9150,35.7021674,51.3528266,1197.0
9176,35.7021674,51.3528266,1197.0
9200,35.7021674,51.3528266,1197.0
9226,35.7021674,51.3528266,1197.0
9250,35.7021674,51.3528266,1197.0
9276,35.7021674,51.3528266,1197.0
9301,35.7021674,51.3528266,1197.0
9325,35.7021674,51.3528266,1197.0
9350,35.7021674,51.3528266,1197.0
9376,35.7021674,51.3528266,1197.0
9400,35.7021674,51.3528266,1197.0
9426,35.7021674,51.3528266,1197.0
9450,35.7021674,51.3528266,1197.0
