,Milliseconds,RotationVectorX,RotationVectorY,RotationVectorZ,RotationVectorcos,RotationVectorheadingAccuracy,GPSLatitude,GPSLongitude,GPSAltitude,CompassX,CompassY,CompassZ,GravityX,GravityY,GravityZ,AccelerometerLinearX,AccelerometerLinearY,AccelerometerLinearZ
1513,37825.0,-0.39203584,0.6367378,-0.5234194000000001,0.40854007,0.17453292,35.7021429,51.352342799999995,1197.0,-10.094651590222917,36.63658144870766,-29.344019718974828,-4.013864942642442e-07,6.607433373773119e-07,9.806650135814744,-0.7707227311061176,-10.234385330709417,6.603482635978629
1514,37850.0,-0.39361337,0.63665134,-0.5383328000000001,0.38722253,0.17453292,35.7021429,51.352342799999995,1197.0,-9.152969505470448,36.49276965282733,-30.47306512240788,4.177605712474275e-07,-1.1325463100675393e-07,9.806649823776889,-2.4809879757927162,-5.178182171408211,1.641254543499991
1515,37875.0,-0.38732725,0.6418283,-0.5431391999999999,0.37819812,0.17453292,35.7021429,51.352342799999995,1197.0,-10.560143502075466,35.33817388507929,-31.203748850767447,-3.155976235902358e-08,-4.1958441565626003e-07,9.806649496610104,-0.7088712737411254,-0.38673866485008884,-2.7684658764177903
1516,37900.0,-0.36632109999999996,0.650393,-0.5406546,0.38793093,0.17453292,35.7021429,51.352342799999995,1197.0,-9.90887768894321,37.85926251962999,-29.93885936766494,-2.2194344140302746e-09,1.6833440819041812e-07,9.806650328527484,1.5627189312438978,1.141914207926928,-3.308936526995886
1517,37925.0,-0.36014837,0.65331167,-0.54596776,0.38130862,0.17453292,35.7021429,51.352342799999995,1197.0,-10.893190004632235,37.09158963924907,-28.666890800687074,-5.620164444941622e-09,3.4018025246718153e-07,9.806650272002667,-0.046251074908185,-0.5006991152190314,-0.8784185852725674
1518,37950.0,-0.35615435,0.65276307,-0.5555846,0.37199494,0.17453292,35.7021429,51.352342799999995,1197.0,-11.18807839013449,35.24939571463298,-31.59045206287788,-1.5740298275890297e-07,-4.030762649764874e-07,9.80665030412544,-0.08484916949599008,-2.193214875713862,0.35080082084453545
1519,37975.0,-0.35179499999999997,0.65440184,-0.56715786,0.35543,0.17453292,35.7021429,51.352342799999995,1197.0,-12.723925735097545,34.555449990340904,-30.716385386924824,2.391871102291887e-07,4.832848251590249e-07,9.806650050574682,-1.3235956172538241,-2.833279036501139,0.8315109159133928
1520,38000.0,-0.34130770000000005,0.65878946,-0.5871586999999999,0.32365140000000003,0.17453292,35.7021429,51.352342799999995,1197.0,-10.874899322692233,33.31004844538647,-32.53295094325413,-1.5528238050954712e-07,3.3072530436495384e-07,9.806649786130864,-1.5872019367620813,-2.837443188951544,0.2267119160861446
1521,38025.0,-0.3335094,0.66141135,-0.5933906999999999,0.31495076,0.17453292,35.7021429,51.352342799999995,1197.0,-12.639144080128464,34.39608810202809,-32.48268555286106,1.4100236533920452e-07,-4.892983207493984e-07,9.806650087060616,0.022315675301684323,-0.7839914471228564,-2.134482613926712
1522,38050.0,-0.3251808,0.66412735,-0.59853464,0.3081373,0.17453292,35.7021429,51.352342799999995,1197.0,-12.642107903292517,35.21068619427287,-29.648880552931967,1.634044397569312e-07,3.2640753577783954e-07,9.80664982308158,0.3271262550460814,-0.3724459894639178,-0.6832370532134417
1523,38075.0,-0.31785125,0.6651961999999999,-0.60433394,0.30210117,0.17453292,35.7021429,51.352342799999995,1197.0,-11.81953576464043,35.34436670777653,-30.61151351780577,3.4961029293789636e-08,-6.576248955392217e-07,9.806650576931904,0.4845550078937063,-0.7474576066416958,0.7075699026200165
1524,38100.0,-0.29835752,0.68060154,-0.60810107,0.27924440000000006,0.17453292,35.7021429,51.352342799999995,1197.0,-11.282558798693003,36.6520267521719,-28.523632755431574,5.966055183215246e-08,-3.523315782461012e-07,9.806650320373716,-0.01774929709677854,-0.19785459302564823,0.466598314654658
1525,38125.0,-0.28781605,0.6877217,-0.60894704,0.27089533,0.17453292,35.7021429,51.352342799999995,1197.0,-13.261837912275302,37.14033716387935,-28.71525716589744,-1.902716575408192e-07,8.386580835351154e-07,9.80665049119678,0.23167143184812375,-0.275643539249292,3.8309183675859715
1526,38150.0,-0.28026325,0.6861065,-0.61720836,0.26412925,0.17453292,35.7021429,51.352342799999995,1197.0,-13.201104639980931,34.935871308295916,-27.957909154340463,-5.5733141990366164e-08,2.689755234097646e-07,9.806649461405922,0.7175975179566532,-1.760807689534634,2.8135646023889347
1527,38175.0,-0.27383435,0.6865777,-0.62588185,0.24879266,0.17453292,35.7021429,51.352342799999995,1197.0,-11.838121927599387,36.45289761300637,-29.78307977533877,-1.9346058666158683e-07,-2.3349960565077765e-07,9.806650168867924,-1.1942452860427641,-2.2319311474234227,2.913741733538494
1528,38200.0,-0.25778154,0.69877815,-0.6341138000000001,0.20774369,0.17453292,35.7021429,51.352342799999995,1197.0,-10.71807146331814,38.12756090504557,-29.608424778528427,0.15106057662474004,0.01129756151306649,9.805479958885519,-3.1300204511819993,-1.0775488003689218,3.1626124570720293
1529,38225.0,-0.24943767,0.70093536,-0.63954186,0.19353731,0.17453292,35.7021429,51.352342799999995,1197.0,-12.408058823694054,38.162269291486865,-31.738249106612756,2.1282390716415023e-07,-3.677115670841502e-07,9.80665011958374,-1.0929859630461758,-1.2489298596757497,4.931993632322292
1530,38250.0,-0.24274823,0.7038395000000001,-0.6437803000000001,0.17672066,0.17453292,35.7021429,51.352342799999995,1197.0,-9.814961949628035,34.519661343984566,-32.281028421067255,-5.799910052228796e-08,2.0413796519846983e-07,9.806650120629238,-2.1300534510651064,-1.1712738806707232,4.215687304374716
1531,38275.0,-0.23801996,0.70428026,-0.6507637,0.15440993,0.17453292,35.7021429,51.352342799999995,1197.0,-7.7668657141352515,34.48939631648521,-33.61362748789823,-1.1843886649209878e-07,4.7165705796547996e-07,9.806650230329499,-1.067020401009203,-0.7794257969933825,1.7689446829846922
1532,38300.0,-0.23295875,0.70576626,-0.642722,0.18582949,0.17453292,35.7021429,51.352342799999995,1197.0,-3.9028868883647903,35.07377792975193,-32.54332388469485,-0.4511278279267332,-0.30000947685419543,9.791673336906703,-1.1183389865138451,-0.8698665134274365,1.693473519341004
1533,38325.0,-0.2364442,0.6867798,-0.64899296,0.22635326,0.17453292,35.7021429,51.352342799999995,1197.0,-0.3321645271323135,33.046259775941245,-36.36430965958872,-3.222202916708383e-07,6.538844539161204e-07,9.806650000708748,5.395216394693309,2.435824034497081,2.907297308148697
1534,38350.0,-0.23862818,0.67562455,-0.64549595,0.26442954,0.17453292,35.7021429,51.352342799999995,1197.0,3.703703833003347,35.08242363639002,-35.96736196002157,1.7215898540090535e-08,1.2935143206549427e-08,9.806650200230157,8.737262575033053,1.4786433115041975,4.670716210210232
1535,38375.0,-0.23634759,0.68105793,-0.63125277,0.2860417,0.17453292,35.7021429,51.352342799999995,1197.0,4.245621179839565,33.42768066953212,-33.35355928308359,8.872508966417669e-08,7.285550515656602e-07,9.806649559431794,3.7358236285791797,6.497809581028058,3.1849941789049803
1536,38400.0,-0.23515986,0.68991065,-0.61814916,0.29430392,0.17453292,35.7021429,51.352342799999995,1197.0,5.402351550604539,36.03982068930692,-31.95959221956831,-1.7661440082639146e-07,7.511289934480914e-08,9.806650283191454,0.2240779450932595,5.833879586054477,1.84806495945522
1537,38425.0,-0.24543226,0.6831477,-0.6193234999999999,0.29918325,0.17453292,35.7021429,51.352342799999995,1197.0,5.549097077131412,34.826830983087795,-33.24126867878697,3.1748375839413256e-07,2.203106030940205e-10,9.806649745128418,-1.0221929977603734,1.8707371258092464,0.6511722598838339
1538,38450.0,-0.2571829,0.66500413,-0.6300361999999999,0.3077027,0.17453292,35.7021429,51.352342799999995,1197.0,8.314349838044489,35.114833477784195,-32.13158641963947,-5.772537666759447e-07,9.313445484271377e-08,9.806650159835193,2.3460142199576373,-3.005872480390766,-4.21387038376866
1539,38475.0,-0.26581994,0.6558357,-0.6290765,0.32168642,0.17453292,35.7021429,51.352342799999995,1197.0,10.56765816531122,34.42660229503623,-32.91509194038558,-3.398070160826744e-07,1.7006391672680365e-07,9.806650286063821,2.2089187457849686,-1.3886169422531567,-5.944333164504298
1540,38500.0,-0.2759801,0.64723444,-0.62414527,0.33965456,0.17453292,35.7021429,51.352342799999995,1197.0,14.502973014665677,33.390207330813084,-31.157171858459034,4.978220660839527e-07,2.4392741533596496e-07,9.806650511538756,2.24884650150043,-0.17014064840233,-7.530895843023905
1541,38525.0,-0.2960709,0.6282329000000001,-0.60947853,0.38236293,0.17453292,35.7021429,51.352342799999995,1197.0,13.91312226032885,33.76795990383996,-30.4389118127804,-6.247880035559206e-08,-2.7404205538150705e-07,9.806650646432434,2.710672627455481,0.5951243749458193,-8.295599586527421
1542,38550.0,-0.30610862,0.62089485,-0.59827113,0.40355759999999996,0.17453292,35.7021429,51.352342799999995,1197.0,18.44435000394035,33.91910388806061,-30.107160617420277,-1.2315832459419696e-07,1.803934353006298e-07,9.80665029298504,1.8271783991224078,1.442841133816148,-8.450481793258785
1543,38575.0,-0.3150573,0.61642337,-0.5877241,0.41873798,0.17453292,35.7021429,51.352342799999995,1197.0,17.133345472810767,34.85654100836048,-28.971837631904624,-4.2045337084184453e-07,4.067333907176174e-07,9.806649603232586,0.667075354150739,1.2991691324804648,-8.073226901861648
1544,38600.0,-0.32518414,0.6102725,-0.5793819,0.43143869999999995,0.17453292,35.7021429,51.352342799999995,1197.0,16.914205408108398,34.423716801085135,-29.569095295029644,-3.385763641117201e-07,7.36214896573939e-07,9.806650228002256,0.44212824577652005,0.3250325435440262,-6.51804875372653
1545,38625.0,-0.33303645,0.6121721,-0.55318296,0.45642155,0.17453292,35.7021429,51.352342799999995,1197.0,14.666756111384892,38.06268684499162,-27.026724397466566,-2.3020729311706845e-07,1.0730304821071623e-07,9.806650670658938,1.2543341903264598,1.3796612651599274,-6.421293438279337
1546,38650.0,-0.33970553,0.6483412,-0.54193527,0.41298917,0.17453292,35.7021429,51.352342799999995,1197.0,13.950945466888873,36.26162639653188,-28.047034942420808,3.3812603916771877e-07,-5.485805231741914e-07,9.806650521514273,-10.080664994504431,2.1542059889925738,2.8543885259676056
1547,38675.0,-0.34695643,0.69981736,-0.53025424,0.32970792,0.17453292,35.7021429,51.352342799999995,1197.0,11.857691809421324,36.792011514954346,-31.695841497382517,2.422027050030806e-07,-4.967352527085467e-07,9.806649847046579,-16.956798345726636,1.762777469154412,16.15699027174599
1548,38700.0,-0.35440663,0.72851586,-0.5212537,0.26824456,0.17453292,35.7021429,51.352342799999995,1197.0,12.324471255864275,33.595114186760874,-33.39521827597736,1.0923154025732629e-07,4.676764235878039e-07,9.80664986662455,-13.975806577310795,-0.05012152532689207,22.320916770231733
1549,38725.0,-0.36703867,0.7434745,-0.49796167,0.25409147,0.17453292,35.7021429,51.352342799999995,1197.0,11.978535134391835,35.158129000546126,-31.85468769209259,4.441751366712765e-08,1.6937162783392523e-09,9.80665012444869,-5.336966217790417,1.255075553824192,5.49260581857283
1550,38750.0,-0.37016859999999996,0.76016444,-0.47616866,0.24163738,0.17453292,35.7021429,51.352342799999995,1197.0,13.046476568801452,38.11768454616873,-29.684432021524866,1.1025445134649203e-07,9.574110126919777e-08,9.80665024000092,-6.368500418377334,5.336655252848194,-5.70390304971475
1551,38775.0,-0.37640609999999997,0.7559333,-0.47289994,0.25149357,0.17453292,35.7021429,51.352342799999995,1197.0,9.386497094899344,38.13672722540171,-29.188416082823032,-7.959823467018623e-08,-5.088908108241696e-07,9.806650324213562,1.142362705839838,0.7066630480690818,-2.019936912165434
1552,38800.0,-0.38503876,0.72714615,-0.48037523,0.30371574,0.17453292,35.7021429,51.352342799999995,1197.0,8.72768532461604,38.19160913145976,-30.11455599052416,-2.622448418421186e-07,6.55249643433109e-07,9.806649490175477,3.564423524499758,-3.329795929519921,15.364605173517676
1553,38825.0,-0.39277026,0.7106741999999999,-0.48135126,0.33011302,0.17453292,35.7021429,51.352342799999995,1197.0,4.776219791429,40.148039442382,-27.83656564226749,3.1764886720964114e-08,7.625937454847076e-07,9.80665048889628,4.026792702482287,-4.857161000911507,-0.0027934455504563527
1554,38850.0,-0.38860518,0.6990713000000001,-0.47181284,0.37104985,0.17453292,35.7021429,51.352342799999995,1197.0,3.3925369396485188,40.19111490458064,-25.373754645851523,3.7162251453892736e-07,-4.224759744264617e-07,9.806650382062138,2.6066059034220004,5.212039540041117,-8.54052192367504
1555,38875.0,-0.3832963,0.6768626,-0.47353715,0.41316286,0.17453292,35.7021429,51.352342799999995,1197.0,-2.485424743457145,41.92295331836382,-26.402170874851567,3.445691698633624e-07,-3.984651038013709e-07,9.806650573928918,10.759448425606408,2.0197595192878626,-6.889652207789478
1556,38900.0,-0.38053513,0.65490407,-0.48339328,0.43889022,0.17453292,35.7021429,51.352342799999995,1197.0,-6.325416712597487,41.28899339004106,-26.045727716202432,-7.562420334394915e-08,2.743465770671527e-07,9.806649746769335,7.9106257301305645,-1.4002762638056336,1.379269072213966
1557,38925.0,-0.38719872,0.63787407,-0.5075807,0.43076178,0.17453292,35.7021429,51.352342799999995,1197.0,-10.185690368429889,36.68392454921851,-28.15435974788553,-1.2172418339950752e-07,1.763155819123341e-07,9.806649751648848,2.0227355093564148,-7.594282796500928,9.250947189539731
1558,38950.0,-0.3920761,0.63355166,-0.54187095,0.38892737,0.17453292,35.7021429,51.352342799999995,1197.0,-10.482701270651617,34.871286235738,-32.935728952122375,5.260602642387369e-07,-4.949261360742696e-07,9.806650491415848,-1.4182811158925408,-2.9815701745801553,0.49447208504877393
1559,38975.0,-0.38668942,0.6262021,-0.54646826,0.39964318,0.17453292,35.7021429,51.352342799999995,1197.0,-9.200100407696102,35.99136446752559,-32.450296167338905,-1.6626936827357497e-08,1.0959254781450767e-07,9.806650200847661,2.8442338245101584,0.35640091810700714,-4.227279409963687
1560,39000.0,-0.37682715,0.6312464,-0.5472342,0.40008005,0.17453292,35.7021429,51.352342799999995,1197.0,-11.62279088039416,34.03458816837073,-31.509703376258507,3.2880158595816056e-07,-4.1355708679802206e-07,9.806650194619028,1.0841344344095136,1.724285097414721,-3.2526597344703685
1561,39025.0,-0.36229786,0.64119893,-0.55575234,0.38567287,0.17453292,35.7021429,51.352342799999995,1197.0,-10.751327972490412,35.05830093697557,-32.79251531914353,0.016434191833815448,0.049373529880954004,9.806512120054132,-0.28480953868488995,0.7913691929758632,-1.4937996431536886
1562,39050.0,-0.35768113,0.642965,-0.5636278,0.37547820000000004,0.17453292,35.7021429,51.352342799999995,1197.0,-10.592580071869262,35.15556711298334,-32.4089820561661,5.663615021411772e-09,7.18293767076883e-07,9.80665008710444,-0.23712362051360278,-0.6585596538897034,-0.4193407574529566
1563,39075.0,-0.35151023,0.64385206,-0.57275677,0.36584798,0.17453292,35.7021429,51.352342799999995,1197.0,-13.047562987752007,34.33377900374483,-31.386716919430008,2.937947671810548e-07,5.8365067112653435e-08,9.80665006697118,0.034823923735986306,-1.7017568672829362,-0.11132959644795101
1564,39100.0,-0.3435043,0.64815426,-0.5771944,0.35881394,0.17453292,35.7021429,51.352342799999995,1197.0,-12.003636158121715,33.83342878745162,-32.90219910861974,-3.507561130433601e-08,4.812579161850294e-07,9.80665002228381,0.011313893377904671,0.016440177721652155,-2.2436783297723712
1565,39125.0,-0.3347292,0.65290046,-0.5818499,0.35089618,0.17453292,35.7021429,51.352342799999995,1197.0,-12.992632749112571,35.99042004245685,-30.503271866739617,-6.795227746048127e-07,2.5978781437174803e-07,9.806649976473944,-0.04338925527433296,0.03937328099748351,-2.696772999086089
1566,39150.0,-0.31895632,0.6637767,-0.59763664,0.31701383,0.17453292,35.7021429,51.352342799999995,1197.0,-12.779643008430536,35.945135758397825,-30.167375324387706,-4.037858825078899e-09,7.19503374102537e-08,9.806650276745957,-1.4274524323552669,-0.8054327983437061,-0.6540857321598079
1567,39175.0,-0.3088982,0.6776456999999999,-0.5997617,0.29268432,0.17453292,35.7021429,51.352342799999995,1197.0,-12.723610793756787,36.681442815906294,-30.31177002628437,3.480698433921958e-07,-8.927226965438351e-07,9.806650296878257,-2.3043430899803026,1.1905845104438346,1.7690057489494833
1568,39200.0,-0.29861128,0.68651253,-0.6012528,0.27933297,0.17453292,35.7021429,51.352342799999995,1197.0,-13.084015943966065,36.64492054494052,-29.197081810167532,1.0027394314882088e-07,-4.301705804898859e-07,9.806650339202188,-1.2919504192251554,0.8566767341897297,1.5378040951877685
1569,39225.0,-0.2892263,0.6909231,-0.60444707,0.27132478,0.17453292,35.7021429,51.352342799999995,1197.0,-13.003667662540341,34.9393385272172,-28.57377346912403,1.0262951100070694e-07,1.1049829340414874e-07,9.806649834050626,-0.032681526965124885,0.18231408750524647,2.7718808447084546
1570,39250.0,-0.27335003,0.6920663,-0.6159438,0.2587222,0.17453292,35.7021429,51.352342799999995,1197.0,-11.698905959201786,37.61598610405085,-29.58613160424084,-8.08449438505221e-08,3.757958333405753e-07,9.806649863988087,0.9512561199256303,-0.33522083724215573,2.2596453268966985
1571,39275.0,-0.26637042,0.6922979,-0.62680954,0.23849583,0.17453292,35.7021429,51.352342799999995,1197.0,-13.306536745559495,36.174056085812495,-32.31348487903621,-4.422759791733455e-08,-3.813851665590562e-07,9.806649692715792,-1.9632191285487288,-3.069272411658249,4.2571905503627265
1572,39300.0,-0.25897112,0.6952283,-0.6353466999999999,0.21430402,0.17453292,35.7021429,51.352342799999995,1197.0,-12.247848806813407,35.092884216545016,-30.600161239489324,-2.71006013408126e-07,-4.678873695151964e-07,9.806650468348202,-3.0960829533983123,-2.4536710333474034,3.848152172820091
1573,39325.0,-0.2510886,0.7007177,-0.639514,0.19227868,0.17453292,35.7021429,51.352342799999995,1197.0,-10.857361911139066,35.86067732786591,-31.340138929277902,3.308141961477773e-07,-6.962541441168923e-07,9.806649926193174,-3.1005326962949247,-0.9463340943841201,4.32103520116389
1574,39350.0,-0.23825261,0.7115878000000001,-0.6417501999999999,0.15822507,0.17453292,35.7021429,51.352342799999995,1197.0,-9.106406682542719,35.929529175035285,-31.128181558507556,2.0513356790985426e-07,-4.470240375642476e-07,9.806649599768136,-1.9152243007379774,-0.6793067750164301,2.1813600329985223
1575,39375.0,-0.23423941,0.715217,-0.6383401,0.16161215,0.17453292,35.7021429,51.352342799999995,1197.0,-4.246935854520119,34.03983111341941,-34.39455372609788,-4.8103735217353005e-08,-4.4050639447235085e-07,9.806650158112607,-1.0181458337994493,-0.3641874055539263,1.2181503553785356
1576,39400.0,-0.23449163,0.7107326,-0.6371853,0.18403195,0.17453292,35.7021429,51.352342799999995,1197.0,0.24223132572872252,35.009069196173584,-36.84354020498275,-2.493743760378919e-07,3.506129210295583e-07,9.806650727366772,5.18002551933135,1.0918425503438915,1.8168329067116393
1577,39425.0,-0.23918681,0.6920437,-0.6440503000000001,0.22150475,0.17453292,35.7021429,51.352342799999995,1197.0,2.4880950050700363,32.67724009828294,-38.35533221938021,-3.30371902890203e-07,8.715844792561711e-07,9.806649474589687,9.309514406304615,-2.569587806190221,3.464617277759335
1578,39450.0,-0.24202819,0.6855100000000001,-0.62810284,0.2774621,0.17453292,35.7021429,51.352342799999995,1197.0,3.6313653383330813,33.701853075065344,-35.48413714272864,-2.6858237145432895e-07,-4.0152313324215427e-07,9.806650436069033,8.167456349803587,0.8020020915702375,4.404611287800873
1579,39475.0,-0.24119954,0.6933784000000001,-0.6137722,0.29040134,0.17453292,35.7021429,51.352342799999995,1197.0,6.192249287510583,35.02804983256156,-34.14697595308089,-6.155427345611031e-08,-3.953422468283563e-07,9.806650243406303,1.2174021158656685,6.203932609545339,2.206049943508526
1580,39500.0,-0.24467026,0.69315255,-0.6081849,0.2996452,0.17453292,35.7021429,51.352342799999995,1197.0,7.21802447299774,34.24099506591343,-35.33907682320239,-4.248688338925888e-07,2.122082983779805e-07,9.806650243329782,1.0196672648181826,1.724275763553637,1.619825241944976
1581,39525.0,-0.2552906,0.6807463,-0.61274296,0.30976957,0.17453292,35.7021429,51.352342799999995,1197.0,10.374543215633704,34.390303868911815,-32.23610555597215,3.0446807164352663e-07,-3.013755744962765e-08,9.806650132121883,0.488733254234871,-1.6832182519018195,-2.2272248022283034
1582,39550.0,-0.27469242,0.65574205,-0.61807394,0.33545646,0.17453292,35.7021429,51.352342799999995,1197.0,8.617704526530957,34.45213192747052,-35.32641137495337,1.3341887872275748e-09,2.1839983446736433e-08,9.806650311290843,3.398996725947059,-4.051592260456658,-4.201472412711102
1583,39575.0,-0.28407624,0.64856786,-0.6155885,0.34599307,0.17453292,35.7021429,51.352342799999995,1197.0,11.944719043088352,32.03181460856739,-34.015655078428885,4.8150243504158086e-08,4.06888325695659e-07,9.80665031508037,0.9376765005521328,-0.9811128536984672,-6.701398731582806
1584,39600.0,-0.29599282,0.63968027,-0.6116668000000001,0.35925075,0.17453292,35.7021429,51.352342799999995,1197.0,15.434728880767688,34.00114582120373,-31.593835133946854,8.424990739774874e-08,4.263094718209848e-07,9.806649798382056,1.0263347461140513,-1.0051095424352088,-7.31885100541002
1585,39625.0,-0.30855367,0.6298210999999999,-0.60547996,0.37618354,0.17453292,35.7021429,51.352342799999995,1197.0,17.302498909429993,34.43856875614583,-32.789422494152845,-1.8705353116432732e-07,5.000824750689414e-07,9.806650033060123,1.4561462825539175,-0.43392601805904146,-7.682768732404525
1586,39650.0,-0.32101503,0.6183719,-0.5964397,0.39852878,0.17453292,35.7021429,51.352342799999995,1197.0,18.754271862271654,33.66335431880178,-30.938581759462757,7.172882767192412e-07,-6.341022309730437e-07,9.806649793683903,2.2611339659600573,0.3373307017279318,-8.121925903772734
1587,39675.0,-0.33012304,0.60119903,-0.5578024,0.46737029999999996,0.17453292,35.7021429,51.352342799999995,1197.0,17.921616288964422,37.789904549275406,-27.280040446522737,-2.47429365995977e-07,8.721188844706962e-07,9.806650679719516,2.1591318729830795,4.5137899369868135,-7.917080430703462
