Milliseconds,X,Y,Z,cos,headingAccuracy
11500,-0.65562904,-0.7550716,-0.0033257618,0.002541381,0.17453292
11600,-0.6560553,-0.7547018,-0.0029405917,0.0028311114,0.17453292
11700,-0.65792507,-0.753073,-0.002591988,0.0029850744,0.17453292
11800,-0.65727943,-0.7536367,-0.0023321281,0.0031737566,0.17453292
11901,-0.6554618,-0.75521725,-0.0024120125,0.003307897,0.17453292
12000,-0.6589201,-0.75220203,-0.0022397216,0.0033710096,0.17453292
12100,-0.65957564,-0.75162655,-0.0022561564,0.0035180836,0.17453292
12200,-0.6576509,-0.75331223,-0.0019557627,0.003487372,0.17453292
12301,-0.65769905,-0.7532696,-0.0020049773,0.0035917778,0.17453292
12400,-0.6576152,-0.75334287,-0.002070161,0.0035425008,0.17453292
12500,-0.6577532,-0.75322115,-0.0021128864,0.0037556314,0.17453292
12600,-0.6579293,-0.75306666,-0.0020493686,0.00392379,0.17453292
12700,-0.65783626,-0.7531477,-0.0021688426,0.0039104815,0.17453292
12800,-0.65774983,-0.753224,-0.0021303075,0.003766608,0.17453292
12901,-0.65783817,-0.75314736,-0.0019851094,0.0037512186,0.17453292
13000,-0.6577926,-0.7531874,-0.0019833467,0.0036917995,0.17453292
13100,-0.6579155,-0.7530793,-0.001990116,0.0038540037,0.17453292
13200,-0.65790325,-0.7530896,-0.0020456847,0.0038874114,0.17453292
13300,-0.65726596,-0.7536464,-0.0020182747,0.0038114358,0.17453292
13401,-0.6586711,-0.7524185,-0.002021606,0.0038373377,0.17453292
13500,-0.6567977,-0.75405437,-0.0020443953,0.0038252475,0.17453292
13600,-0.6556927,-0.75501513,-0.0021157183,0.003844647,0.17453292
13700,-0.6526035,-0.7576868,-0.0020991247,0.0038637219,0.17453292
13800,-0.65790063,-0.75309217,-0.0020914725,0.003811093,0.17453292
13901,-0.65519327,-0.75544935,-0.0020164554,0.0037420054,0.17453292
14000,-0.6561737,-0.754597,-0.0021859277,0.0038330408,0.17453292
14100,-0.6551145,-0.7555174,-0.0020032905,0.0038056034,0.17453292
14200,-0.65862375,-0.7524604,-0.0021474494,0.0036699257,0.17453292
14301,-0.65829223,-0.75275755,-7.5602427E-4,0.0026090215,0.17453292
14400,-0.6577939,-0.7531706,-0.0049928166,0.0040369215,0.17453292
14500,0.65522045,0.7553763,0.0070995954,0.0065125157,0.17453292
14600,0.6566767,0.7536049,-0.0047139656,0.028864063,0.17453292
14700,0.6282499,0.77064043,-0.03355365,0.101437144,0.17453292
14800,0.5554468,0.7999605,-0.06559151,0.21734731,0.17453292
14901,0.44701576,0.81439996,-0.09644608,0.3572503,0.17453292
15000,0.32121435,0.80415654,-0.09619643,0.49081552,0.17453292
15100,0.18732992,0.78098845,-0.029089572,0.5950784,0.17453292
15200,0.1517154,0.7553908,-0.02721497,0.63688815,0.17453292
15300,0.08233994,0.7322254,0.010544384,0.6759844,0.17453292
15400,0.044136878,0.71652067,0.023369752,0.69577575,0.17453292
15500,0.020557232,0.70763826,0.04217099,0.70501566,0.17453292
15600,3.7233182E-4,0.69974643,0.039974265,0.7132719,0.17453292
15700,-0.011092518,0.69148064,0.042103063,0.7210817,0.17453292
15800,-0.020666003,0.6874104,0.037974596,0.72498125,0.17453292
15900,-0.026766906,0.68248695,0.037613496,0.72943836,0.17453292
16000,-0.027151115,0.6799727,0.035741445,0.7318623,0.17453292
16101,-0.029077107,0.67949533,0.034695014,0.7322819,0.17453292
16200,-0.029442264,0.67860824,0.03328174,0.733155,0.17453292
16301,-0.030712495,0.6780602,0.03374429,0.73358876,0.17453292
16400,-0.031961035,0.6772575,0.03455028,0.7342391,0.17453292
16500,-0.031306393,0.6759343,0.0334724,0.7355354,0.17453292
16600,-0.033070307,0.6752242,0.035253447,0.73602706,0.17453292
16701,-0.03543262,0.67447263,0.037766036,0.7364814,0.17453292
16800,-0.03646399,0.6739681,0.038904905,0.73683363,0.17453292
16900,-0.03637468,0.67336404,0.038683623,0.7374017,0.17453292
17000,-0.036398742,0.6716528,0.038848504,0.7389509,0.17453292
17100,-0.03681071,0.6732216,0.039096396,0.7374884,0.17453292
17200,-0.036041196,0.67256707,0.038319018,0.73816407,0.17453292
17300,-0.03653219,0.67196655,0.038923856,0.7386551,0.17453292
17401,-0.03745936,0.6718514,0.03986631,0.7386631,0.17453292
17500,-0.03814624,0.67168254,0.04074845,0.73873335,0.17453292
17600,-0.037003372,0.6716953,0.039479356,0.7388488,0.17453292
17700,-0.037462093,0.6717159,0.040054496,0.738776,0.17453292
17800,-0.038202748,0.671673,0.040533558,0.73875093,0.17453292
17900,-0.03626065,0.6718661,0.03841835,0.7387862,0.17453292
18001,-0.03825334,0.6717801,0.040635508,0.7386454,0.17453292
18100,-0.03700574,0.67171824,0.03955565,0.7388237,0.17453292
18200,-0.03960568,0.67145705,0.04224043,0.73877776,0.17453292
18300,-0.04077706,0.67155766,0.043409873,0.7385547,0.17453292
18400,-0.042683013,0.6713203,0.045567114,0.7385329,0.17453292
18501,-0.043683145,0.671109,0.046742164,0.73859304,0.17453292
18600,-0.043420065,0.67134815,0.04639946,0.7384128,0.17453292
18700,-0.043573707,0.6712556,0.046492502,0.73848206,0.17453292
18800,-0.043241825,0.67142516,0.046360604,0.73835564,0.17453292
18900,-0.043111823,0.67155,0.04617596,0.73826134,0.17453292
19001,-0.043147083,0.671502,0.046258245,0.73829776,0.17453292
19100,-0.04341905,0.6713915,0.04630157,0.7383796,0.17453292
19200,-0.0416285,0.6724404,0.04607445,0.737542,0.17453292
19300,-0.033590395,0.67971075,0.051526066,0.7308968,0.17453292
19400,-0.008686321,0.6912788,0.045516856,0.7211008,0.17453292
19501,0.0019755682,0.69845754,0.079778574,0.71118814,0.17453292
19600,0.008510355,0.70465404,0.18040359,0.6861813,0.17453292
19700,0.02291979,0.7020025,0.328392,0.6315266,0.17453292
19800,0.028130772,0.70897895,0.4332712,0.555728,0.17453292
19900,0.21594755,0.65351635,0.5831724,0.4315009,0.17453292
20001,0.49529302,0.44353014,0.7044227,0.24850452,0.17453292
20100,0.61812997,0.25653067,0.7404351,0.06215426,0.17453292
20200,-0.6459857,-0.1841177,-0.74019516,0.030236367,0.17453292
20300,-0.6350683,-0.17831942,-0.74765545,0.076822795,0.17453292
20401,-0.6274245,-0.18436532,-0.74795455,0.11363064,0.17453292
20500,-0.6304321,-0.18179786,-0.7430545,0.13181378,0.17453292
20600,-0.641072,-0.1715652,-0.73628294,0.1322102,0.17453292
20700,-0.64706284,-0.1613224,-0.73258674,0.13638705,0.17453292
20800,-0.6486995,-0.15677503,-0.73050654,0.14481263,0.17453292
20901,-0.65071213,-0.15428089,-0.7282299,0.14984107,0.17453292
21000,-0.66292465,-0.14995675,-0.7191738,0.14433634,0.17453292
21100,-0.6830049,-0.12990524,-0.7073733,0.12748317,0.17453292
21200,-0.68219763,-0.12492011,-0.7091111,0.12713313,0.17453292
21300,-0.67235637,-0.13728303,-0.71456164,0.13598537,0.17453292
21401,-0.691128,-0.118694395,-0.7045491,0.10892338,0.17453292
21500,-0.6641051,-0.13223787,-0.72092396,0.14746602,0.17453292
21600,-0.64881915,-0.13779365,-0.73294437,0.15112627,0.17453292
21700,-0.62792665,-0.14949752,-0.7439143,0.17306113,0.17453292
21800,-0.6348611,-0.1447294,-0.74079937,0.16498819,0.17453292
21901,-0.6396409,-0.14161947,-0.73836863,0.16004732,0.17453292
22000,-0.64505726,-0.13705477,-0.7359553,0.15325437,0.17453292
22100,-0.6351595,-0.14567177,-0.7399399,0.16685654,0.17453292
22200,-0.6441482,-0.14037469,-0.7352404,0.15744701,0.17453292
22300,-0.642737,-0.14332116,-0.73510426,0.16115196,0.17453292
22401,-0.64213496,-0.14415541,-0.73518056,0.1624545,0.17453292
22500,-0.646916,-0.138686,-0.7337199,0.15466441,0.17453292
22600,-0.64820045,-0.13590808,-0.7338198,0.15124027,0.17453292
22700,-0.64688647,-0.13896288,-0.7336151,0.15503596,0.17453292
22800,-0.64723307,-0.13900705,-0.733307,0.15500717,0.17453292
22900,-0.64703786,-0.13975471,-0.73312896,0.1559888,0.17453292
23001,-0.6479183,-0.1369503,-0.7335603,0.1527605,0.17453292
23100,-0.6481288,-0.1361161,-0.7336766,0.15205285,0.17453292
23200,-0.64891803,-0.13394497,-0.73391783,0.14942789,0.17453292
23300,-0.64791095,-0.1376772,-0.7332644,0.15355705,0.17453292
23400,-0.6475527,-0.13715565,-0.73371375,0.15338813,0.17453292
23501,-0.6476271,-0.14028175,-0.73238283,0.15657422,0.17453292
23600,-0.6481904,-0.13972156,-0.7321642,0.1557649,0.17453292
23700,-0.64819545,-0.13829975,-0.7327768,0.15412317,0.17453292
23800,-0.64796424,-0.13765986,-0.7332528,0.15340285,0.17453292
23900,-0.64837044,-0.13584538,-0.7336452,0.15141493,0.17453292
24001,-0.64739937,-0.13809721,-0.7335361,0.15403906,0.17453292
24100,-0.6486578,-0.13508609,-0.73376304,0.15028839,0.17453292
24200,-0.6480594,-0.1359638,-0.7338677,0.15156193,0.17453292
24300,-0.6472746,-0.13768548,-0.73375463,0.15389101,0.17453292
24400,-0.6465799,-0.14084391,-0.73302096,0.15740931,0.17453292
24501,-0.65771806,-0.13244729,-0.72741055,0.14400883,0.17453292
24600,-0.66249496,-0.13184898,-0.7236166,0.14175788,0.17453292
24700,-0.66977155,-0.12848729,-0.71869636,0.13554576,0.17453292
24800,-0.67659485,-0.12672555,-0.7134339,0.13104205,0.17453292
24900,-0.6795097,-0.12804194,-0.7103675,0.13133864,0.17453292
25001,-0.68697613,-0.12590876,-0.7044406,0.12638913,0.17453292
25100,-0.68920666,-0.1263102,-0.7021188,0.12676385,0.17453292
25200,-0.6984052,-0.120340504,-0.6957246,0.11711365,0.17453292
25300,-0.70068216,-0.122525156,-0.69277084,0.11874606,0.17453292
25400,-0.703476,-0.119644485,-0.69102365,0.11529521,0.17453292
25500,-0.7058343,-0.1199736,-0.68865544,0.114707954,0.17453292
25601,-0.7076703,-0.11732777,-0.6877315,0.111634776,0.17453292
25700,-0.70916575,-0.11570203,-0.686763,0.10978892,0.17453292
25800,-0.7106903,-0.11522616,-0.6854571,0.10858503,0.17453292
25900,-0.71044415,-0.118962616,-0.684508,0.11209735,0.17453292
26000,-0.7113767,-0.120252505,-0.6831462,0.113109544,0.17453292
26101,-0.71168816,-0.11969409,-0.6830014,0.11261596,0.17453292
26200,-0.71335787,-0.115930445,-0.68256855,0.10853952,0.17453292
26300,-0.7137206,-0.11442428,-0.68285644,0.10591065,0.17453292
26400,-0.70677114,-0.109558865,-0.69142485,0.10199556,0.17453292
26500,-0.67229486,-0.1236335,-0.71804446,0.13094471,0.17453292
26601,-0.6403367,-0.120630234,-0.7464512,0.13501072,0.17453292
26700,-0.57292795,-0.12893896,-0.79010135,0.17569354,0.17453292
26800,-0.4994612,-0.119187556,-0.8332836,0.20486891,0.17453292
26900,-0.42689058,-0.10128076,-0.87349635,0.21097565,0.17453292
27000,-0.31220058,-0.089320265,-0.9108323,0.25482795,0.17453292
27101,-0.25066113,-0.0645925,-0.9364819,0.23663984,0.17453292
27200,-0.1632842,-0.037861828,-0.95572364,0.24186176,0.17453292
27300,-0.11472374,-0.025524296,-0.9660073,0.23025395,0.17453292
27400,-0.072865315,-0.016259162,-0.97144145,0.22522828,0.17453292
27500,-0.049167167,-0.01015491,-0.9739116,0.22130454,0.17453292
27601,-0.0350818,-0.0067554708,-0.9753621,0.21769792,0.17453292
27700,-0.022677694,-0.0042608916,-0.97637033,0.21486871,0.17453292
27800,-0.015796348,-0.002984809,-0.9765186,0.21483254,0.17453292
27900,-0.010249634,-0.0018484081,-0.9769983,0.21299258,0.17453292
28000,-0.006440474,-0.0010392759,-0.9768405,0.21386932,0.17453292
28100,-0.004405697,-6.3825154E-4,-0.9775812,0.21051182,0.17453292
28201,-0.0027106274,-4.5063364E-4,-0.9773806,0.21147023,0.17453292
28300,-0.0013194071,-2.3082478E-4,-0.97745836,0.21112396,0.17453292
28400,-6.9974834E-4,-1.8216627E-4,-0.97836035,0.20690706,0.17453292
28500,-2.173213E-4,1.4073535E-5,-0.9779616,0.20878477,0.17453292
28600,1.3783926E-4,1.7552428E-4,-0.9777964,0.20955704,0.17453292
28701,3.8231027E-4,7.266918E-5,-0.97815937,0.20785592,0.17453292
28800,6.1674346E-4,1.094616E-4,-0.9778795,0.20916796,0.17453292
28900,9.4679097E-4,1.0943253E-4,-0.97831774,0.20710753,0.17453292
29000,6.582969E-4,1.6886409E-4,-0.97919387,0.20292597,0.17453292
29100,7.1156205E-4,2.9781394E-4,-0.97918516,0.20296767,0.17453292
29200,1.9727516E-4,3.9446194E-4,-0.9792424,0.20269233,0.17453292
29301,-0.008392373,8.4365887E-4,-0.98119277,0.19284616,0.17453292
29400,-0.022054998,-0.009515136,-0.97613597,0.21582772,0.17453292
29500,-0.05673057,-0.012645153,-0.96204096,0.26664388,0.17453292
29600,-0.12863602,-0.027960502,-0.94813555,0.28932682,0.17453292
29700,-0.175506,-0.054063715,-0.92508894,0.3323931,0.17453292
29801,-0.30412632,-0.07235967,-0.9141474,0.25808114,0.17453292
29900,-0.37025216,-0.10194694,-0.884066,0.26635963,0.17453292
30000,-0.50967103,-0.080969304,-0.83579415,0.18742348,0.17453292
30100,-0.6345046,-0.05943836,-0.7620025,0.11499184,0.17453292
30200,-0.7227314,-0.042925417,-0.6847685,0.08311937,0.17453292
30301,-0.78052324,-0.044885363,-0.6188586,0.07604457,0.17453292
30400,-0.8138304,-0.07233604,-0.5701635,0.0857974,0.17453292
30500,-0.8520276,-0.065552205,-0.5133878,0.07864342,0.17453292
30600,-0.8938339,-0.04984696,-0.44366702,0.041663058,0.17453292
30701,-0.9199733,-0.047931813,-0.3853896,0.05316471,0.17453292
30800,-0.9494098,-0.018370738,-0.31187686,0.031880546,0.17453292
30900,-0.9654027,-0.02766344,-0.25814542,0.024356605,0.17453292
31002,-0.97726643,-0.035290636,-0.20796123,0.021376926,0.17453292
31100,-0.98650324,-0.051044412,-0.15474394,0.01612913,0.17453292
31200,-0.99302,-0.055338606,-0.10347888,0.011874312,0.17453292
31300,-0.99618876,-0.049390756,-0.071405694,0.008347221,0.17453292
31400,-0.9968139,-0.06192239,-0.049849074,0.0065418887,0.17453292
31500,-0.9973459,-0.06510812,-0.032247078,0.0047136117,0.17453292
31601,-0.9968357,-0.07614146,-0.02250563,0.0038170407,0.17453292
31700,-0.9968099,-0.07840745,-0.014598218,0.0030400094,0.17453292
31800,-0.9969525,-0.07741291,-0.009301935,0.0025440794,0.17453292
31900,-0.99695265,-0.07771123,-0.0064462703,0.002196375,0.17453292
32000,-0.99670297,-0.08101864,-0.00400171,0.0017902593,0.17453292
32101,-0.9963471,-0.0853438,-0.0025258276,0.0015737887,0.17453292
32200,-0.9957818,-0.09173121,-0.0013853511,0.0014388814,0.17453292
32300,-0.9956153,-0.09353059,-5.1399047E-4,0.0013721939,0.17453292
32400,-0.9950733,-0.09913406,-3.5596866E-4,0.0012076797,0.17453292
32501,-0.9951016,-0.09885027,3.334384E-5,0.0012258067,0.17453292
32600,-0.99478483,-0.10198845,1.5099141E-4,0.0012039241,0.17453292
32700,-0.99518937,-0.09796154,2.990049E-4,0.001240662,0.17453292
32800,-0.99493957,-0.10046762,5.6526205E-4,0.0010936493,0.17453292
32900,-0.99494416,-0.10042219,6.012058E-4,0.0010463307,0.17453292
33001,-0.9949408,-0.100454815,5.702748E-4,0.0011312155,0.17453292
33100,-0.9949288,-0.10057438,4.8711558E-4,0.0011418901,0.17453292
33200,-0.9949233,-0.100629345,4.5517692E-4,0.001084444,0.17453292
33300,-0.99493164,-0.10054711,5.182128E-4,0.0010190051,0.17453292
33400,-0.9949187,-0.10067499,4.2394604E-4,0.0010833974,0.17453292
33501,-0.9949301,-0.10056161,4.988733E-4,0.0011122002,0.17453292
33600,-0.9949319,-0.10054466,5.188105E-4,0.0010298117,0.17453292
33700,-0.99493456,-0.10051952,5.540479E-4,8.5114856E-4,0.17453292
33800,-0.9949485,-0.100380816,6.506874E-4,8.3645014E-4,0.17453292
33900,-0.99494374,-0.10042763,6.080763E-4,9.408725E-4,0.17453292
34001,-0.99493635,-0.10049989,5.4448546E-4,0.0010800343,0.17453292
34100,-0.9949336,-0.1005264,5.232223E-4,0.0011104784,0.17453292
34200,-0.9949316,-0.10054639,5.0475E-4,0.0011576333,0.17453292
34300,-0.9949389,-0.100472435,5.4690934E-4,0.001243269,0.17453292
