Milliseconds,RotationVectorX,RotationVectorY,RotationVectorZ,RotationVectorcos,RotationVectorheadingAccuracy,CompassX,CompassY,CompassZ,GravityX,GravityY,GravityZ,AccelerometerLinearX,AccelerometerLinearY,AccelerometerLinearZ
13550.0,-0.20663022,-0.73556095,0.62189126,0.17177106,0.17453292,-3.048607529368839,35.40003593173558,-12.688131960155475,-8.376130000709026e-08,4.631419934231218e-07,9.806650472263728,0.5710691350982944,1.1360537228389458,2.527868918751103
13575.0,-0.20849754,-0.7344165,0.6199712,0.18109922,0.17453292,-3.115633340565479,34.72176732597228,-11.201830295326443,3.868236053694574e-08,2.7388942003270245e-08,9.806650364507624,-1.5010511165858003,0.6434142834813504,2.446882984157614
13600.0,-0.20970885,-0.7340104000000001,0.61618954,0.19380757,0.17453292,-3.493532303660132,34.92245021781098,-12.312381225593194,2.474002780417095e-08,-1.672136280550518e-07,9.806650110608507,-2.179214392649024,1.4019530419428923,2.5999595077803517
13625.0,-0.20901550000000002,-0.7337578,0.6092604,0.2161338,0.17453292,-1.2787982792235084,34.994659401702094,-11.505989525107484,0.12884731612700395,-0.09220983334258026,9.805370532889196,-2.4250700261805824,1.464782532276995,3.334418193268555
13650.0,-0.20991716,-0.7339045,0.6071409000000001,0.22067834,0.17453292,-2.200879980775941,33.6561113204847,-13.074982851280293,-3.529681238401139e-07,-8.594197478117849e-07,9.806649624352008,-0.6824278243448689,0.7142041798555903,1.9672813151655824
13675.0,-0.21240246,-0.72799987,0.6128693000000001,0.22201928,0.17453292,-1.2847455773630418,30.059481651192947,-17.011421919280682,-3.0141520201976135e-07,-6.614655581049789e-07,9.806649957093313,-0.601449779354757,-2.4189575963151153,0.9934895348251047
13700.0,-0.21550444,-0.719248,0.62279207,0.2199323,0.17453292,-0.21554706200276819,30.001774817351553,-19.89216954215517,-2.1591286536448706e-09,4.084994102981909e-07,9.806650408553066,-0.19322024853494946,-4.148495434929643,1.5801939558509355
13725.0,-0.21992466,-0.71625245,0.6321691999999999,0.19742773,0.17453292,1.1310406341291426,27.720137276753416,-21.559732788821414,-0.20909239233691634,0.10967447722172952,9.803807342627193,1.7061500886272036,-2.608475882496048,2.752795340965287
13750.0,-0.22411843,-0.7168179,0.6350099,0.18084653,0.17453292,0.4343859555610603,28.584505456777862,-25.433727891535952,-0.27581214981244584,0.11839425638183121,9.802055798253235,3.258243486008483,-1.6479426911251756,2.9977727932588176
13775.0,-0.22665167,-0.7163055,0.6387194,0.16605143,0.17453292,-0.19725844122822522,24.187355501741855,-28.383778489899953,1.0482202938977281e-07,1.5427088917441267e-07,9.80664997793329,3.6611957710894094,-2.1513927356991673,2.6855376917210094
13800.0,-0.23006749,-0.7120509,0.643257,0.16208895,0.17453292,-2.1811640531522825,20.284403319558564,-29.236467642341044,-4.1736129807734557e-07,-5.569186002363224e-07,9.806650220907864,1.0772262613622383,-2.438224691310519,0.6217005145991433
13825.0,-0.23247403,-0.7079741,0.6461286,0.16506466,0.17453292,-1.9618169838939616,20.12671986421534,-30.81639843451335,-2.3841924878809095e-08,-2.1522120097206e-07,9.8066507548582,-0.6288537718036781,-1.4369337255610464,-1.611852405846745
13850.0,-0.23484236,-0.7007180000000001,0.6500706,0.17678122,0.17453292,-1.487275692406353,16.952066161859683,-31.05474123145099,0.08065490930080443,0.047723173801970664,9.806202587702726,-1.5970843114373854,-0.870047649353725,-3.1744555095199414
13875.0,-0.23824666,-0.6968061,0.65161765,0.18191813,0.17453292,-2.8432158789272455,14.572088288283776,-32.80047468021197,9.040803938820119e-09,-4.236379703703719e-07,9.806649678835003,-0.7639992897505029,-0.9336351291696745,-5.574005452630234
13900.0,-0.23898200000000003,-0.69371796,0.6547327,0.18157111,0.17453292,0.10953005066324462,13.319606882485072,-35.5351122575509,2.655174729526699e-07,-1.8671188206642597e-07,9.806649481267687,-0.17510429350028367,-1.3168170334147649,-6.349418662675955
